radius,degree,feature_scale_px,detection_rate,detection_magnitude,white_noise_gain,threshold
7,9,4,1.00000000000000000e+00,6.58628445394525031e-01,1.33947221769099345e-01,1.01487294928190638e-02
7,9,8,1.00000000000000000e+00,5.27432818119719204e-01,1.33947221769099345e-01,1.01487294928190638e-02
7,9,16,1.00000000000000000e+00,8.52307555668535832e-02,1.33947221769099345e-01,1.01487294928190638e-02
7,9,32,0.00000000000000000e+00,1.65147272603294423e-07,1.33947221769099345e-01,1.01487294928190638e-02
7,9,64,0.00000000000000000e+00,1.57351797154204330e-07,1.33947221769099345e-01,1.01487294928190638e-02
7,9,128,0.00000000000000000e+00,1.40009819614943140e-07,1.33947221769099345e-01,1.01487294928190638e-02
7,9,256,0.00000000000000000e+00,1.75073329706897326e-07,1.33947221769099345e-01,1.01487294928190638e-02
9,11,2,1.00000000000000000e+00,2.31320905046428243e-01,8.86865062006638588e-02,8.25797559101004372e-03
9,11,4,1.00000000000000000e+00,5.77330800364868169e-01,8.86865062006638588e-02,8.25797559101004372e-03
9,11,8,1.00000000000000000e+00,4.96337880692104993e-01,8.86865062006638588e-02,8.25797559101004372e-03
9,11,16,1.00000000000000000e+00,1.03761067440161781e-01,8.86865062006638588e-02,8.25797559101004372e-03
9,11,32,0.00000000000000000e+00,1.57616368646195465e-07,8.86865062006638588e-02,8.25797559101004372e-03
9,11,64,0.00000000000000000e+00,1.75874977350322134e-07,8.86865062006638588e-02,8.25797559101004372e-03
9,11,128,0.00000000000000000e+00,1.52655644750958811e-07,8.86865062006638588e-02,8.25797559101004372e-03
9,11,256,0.00000000000000000e+00,1.78858922374639505e-07,8.86865062006638588e-02,8.25797559101004372e-03
11,11,2,1.00000000000000000e+00,1.35120246441592179e-01,3.98865747762387965e-02,5.53806684433730614e-03
11,11,4,1.00000000000000000e+00,4.03743842708259693e-01,3.98865747762387965e-02,5.53806684433730614e-03
11,11,8,1.00000000000000000e+00,3.71947879924048319e-01,3.98865747762387965e-02,5.53806684433730614e-03
11,11,16,1.00000000000000000e+00,1.25043938035448027e-01,3.98865747762387965e-02,5.53806684433730614e-03
11,11,32,1.00000000000000000e+00,2.83112272587624295e-02,3.98865747762387965e-02,5.53806684433730614e-03
11,11,64,0.00000000000000000e+00,1.01347091879436034e-07,3.98865747762387965e-02,5.53806684433730614e-03
11,11,128,0.00000000000000000e+00,1.12414145719082307e-07,3.98865747762387965e-02,5.53806684433730614e-03
11,11,256,0.00000000000000000e+00,1.32313854576432128e-07,3.98865747762387965e-02,5.53806684433730614e-03
13,11,2,1.00000000000000000e+00,8.12132246938881280e-02,1.94710842136819190e-02,3.86936669578336317e-03
13,11,4,1.00000000000000000e+00,2.72342484598911083e-01,1.94710842136819190e-02,3.86936669578336317e-03
13,11,8,1.00000000000000000e+00,3.26801895773023598e-01,1.94710842136819190e-02,3.86936669578336317e-03
13,11,16,1.00000000000000000e+00,1.01360732071996196e-01,1.94710842136819190e-02,3.86936669578336317e-03
13,11,32,1.00000000000000000e+00,3.78287933587562186e-02,1.94710842136819190e-02,3.86936669578336317e-03
13,11,64,0.00000000000000000e+00,1.03529181925390676e-07,1.94710842136819190e-02,3.86936669578336317e-03
13,11,128,0.00000000000000000e+00,9.82125024430412721e-08,1.94710842136819190e-02,3.86936669578336317e-03
13,11,256,0.00000000000000000e+00,1.19809986705159840e-07,1.94710842136819190e-02,3.86936669578336317e-03
16,11,2,1.00000000000000000e+00,4.50242096678036344e-02,8.69626897467827044e-03,2.58589748469798680e-03
16,11,4,1.00000000000000000e+00,1.66150812822805360e-01,8.69626897467827044e-03,2.58589748469798680e-03
16,11,8,1.00000000000000000e+00,3.11765600021903344e-01,8.69626897467827044e-03,2.58589748469798680e-03
16,11,16,1.00000000000000000e+00,1.48123145211137980e-01,8.69626897467827044e-03,2.58589748469798680e-03
16,11,32,1.00000000000000000e+00,4.50760015002261982e-02,8.69626897467827044e-03,2.58589748469798680e-03
16,11,64,0.00000000000000000e+00,7.60753419611618001e-08,8.69626897467827044e-03,2.58589748469798680e-03
16,11,128,0.00000000000000000e+00,7.04596218566423890e-08,8.69626897467827044e-03,2.58589748469798680e-03
16,11,256,0.00000000000000000e+00,1.01181090276093956e-07,8.69626897467827044e-03,2.58589748469798680e-03
20,11,2,1.00000000000000000e+00,2.30208714159133195e-02,3.48123956430274658e-03,1.63610727991004949e-03
