frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.25000000000000000e-01,30.000000,-7.58867945266170185e-01,-8.07326756899762188e-05,1000
2.50000000000000000e-01,30.000000,-1.57027470094357113e+00,3.14127074169527098e+00,1000
1.56250000000000000e-02,35.000000,-7.14738985758342493e-04,-9.74563376576753626e-05,1000
3.12500000000000000e-02,35.000000,-1.89030157375326135e-02,2.24251942304576346e-06,1000
6.25000000000000000e-02,35.000000,-2.85551605689675414e-01,-5.45437349686039852e-06,1000
1.25000000000000000e-01,35.000000,-7.58057860176009735e-01,1.38546325882948906e-05,1000
2.50000000000000000e-01,35.000000,-1.56757316655900669e+00,-3.14152744068919532e+00,1000
1.56250000000000000e-02,40.000000,-7.13786606638386334e-04,4.54752206557884620e-05,1000
3.12500000000000000e-02,40.000000,-1.90666626198157108e-02,-3.60910569776606849e-05,1000
6.25000000000000000e-02,40.000000,-2.86821319634594729e-01,6.96271646898338759e-05,1000
1.25000000000000000e-01,40.000000,-7.57138029929538048e-01,-5.73791646214516504e-05,1000
2.50000000000000000e-01,40.000000,-1.56974700952180601e+00,3.14149115244735455e+00,1000
1.56250000000000000e-02,45.000000,-7.20884304702615331e-04,-1.01522145394383756e-04,1000
3.12500000000000000e-02,45.000000,-1.90900365478937351e-02,6.13989058990682679e-05,1000
6.25000000000000000e-02,45.000000,-2.87275499643651511e-01,-2.05533772078769772e-04,1000
1.25000000000000000e-01,45.000000,-7.56719956846656605e-01,8.35982597635620550e-06,1000
2.50000000000000000e-01,45.000000,-1.56902185819454121e+00,3.71838495851761763e-05,1000
1.56250000000000000e-02,50.000000,-7.26525711540429442e-04,2.56728003997785947e-05,1000
3.12500000000000000e-02,50.000000,-1.90433455109160210e-02,-7.24509144625073986e-05,1000
6.25000000000000000e-02,50.000000,-2.86824962637282965e-01,-6.21097180664165194e-06,1000
1.25000000000000000e-01,50.000000,-7.57139438253121466e-01,-1.01360452647192290e-04,1000
2.50000000000000000e-01,50.000000,-1.56974719085750358e+00,-3.14157975326137429e+00,1000
1.56250000000000000e-02,55.000000,-7.12361902957536763e-04,-8.70819073446327252e-05,1000
3.12500000000000000e-02,55.000000,-1.89214415700242888e-02,1.39294248167054491e-04,1000
6.25000000000000000e-02,55.000000,-2.85560452001786202e-01,-5.20143476978596198e-05,1000
1.25000000000000000e-01,55.000000,-7.58057017459127569e-01,-6.68996902106755442e-05,1000
2.50000000000000000e-01,55.000000,-1.56757307829357218e+00,3.14156593918529126e+00,1000
1.56250000000000000e-02,60.000000,-7.13477406980314588e-04,-1.59450498156132880e-05,1000
3.12500000000000000e-02,60.000000,-1.86820687229609372e-02,-3.17622783350124394e-05,1000
6.25000000000000000e-02,60.000000,-2.83554370960407587e-01,-4.35246407111122835e-05,1000
1.25000000000000000e-01,60.000000,-7.58866901649734249e-01,3.30287582470667473e-05,1000
2.50000000000000000e-01,60.000000,-1.57027461568745719e+00,3.14137318865432036e+00,1000
1.56250000000000000e-02,65.000000,-6.95880276027349698e-04,5.38129196212544514e-05,1000
3.12500000000000000e-02,65.000000,-1.84213902961310183e-02,2.15996759087566659e-05,1000
6.25000000000000000e-02,65.000000,-2.81122152300257000e-01,-7.13143130681714865e-06,1000
1.25000000000000000e-01,65.000000,-7.59376102667938757e-01,-7.20418713333614846e-05,1000
2.50000000000000000e-01,65.000000,-1.57001993480643187e+00,-3.14133561513836623e+00,1000
1.56250000000000000e-02,70.000000,-6.61332682680343398e-04,1.14614529560075340e-04,1000
3.12500000000000000e-02,70.000000,-1.81332070143829516e-02,1.01289842330487545e-04,1000
6.25000000000000000e-02,70.000000,-2.78521212268041218e-01,1.50201889193013471e-06,1000
1.25000000000000000e-01,70.000000,-7.59917620517135073e-01,1.00658046040535964e-05,1000
2.50000000000000000e-01,70.000000,-1.56589478503201196e+00,-3.14153347437368513e+00,1000
1.56250000000000000e-02,75.000000,-6.65229696849262142e-04,1.92456301029153565e-06,1000
3.12500000000000000e-02,75.000000,-1.78688864543841419e-02,2.74908819184460640e-05,1000
6.25000000000000000e-02,75.000000,-2.76062933164032853e-01,-4.40872008233839097e-06,1000
1.25000000000000000e-01,75.000000,-7.60808336235962446e-01,-1.45546800975893120e-05,1000
2.50000000000000000e-01,75.000000,-1.56495603459049004e+00,-3.14158947204617522e+00,1000
1.56250000000000000e-02,80.000000,-6.15232322295058975e-04,-6.93321081812747764e-05,1000
3.12500000000000000e-02,80.000000,-1.76716203701358376e-02,2.25702056404486484e-05,1000
6.25000000000000000e-02,80.000000,-2.74040828328387887e-01,1.22889243963530959e-04,1000
1.25000000000000000e-01,80.000000,-7.61907973327429877e-01,-3.15086860549484982e-05,1000
2.50000000000000000e-01,80.000000,-1.56531968414762690e+00,3.14154758307260185e+00,1000
1.56250000000000000e-02,85.000000,-6.55128121487727477e-04,-1.71446044856526925e-04,1000
3.12500000000000000e-02,85.000000,-1.75041480633687796e-02,8.27395041724798830e-05,1000
6.25000000000000000e-02,85.000000,-2.72744060297703483e-01,-8.38032675636313229e-05,1000
1.25000000000000000e-01,85.000000,-7.62782790631466368e-01,4.86684552378768842e-05,1000
2.50000000000000000e-01,85.000000,-1.56396674782863321e+00,3.14158040549434325e+00,1000
1.56250000000000000e-02,90.000000,-8.49698718640670703e-04,-2.04777603943107067e-04,1000
