frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.56250000000000000e-02,75.000000,-6.98693104425648914e-04,-7.54190311367253230e-05,0.1
3.12500000000000000e-02,75.000000,-1.79001240177083798e-02,-1.13383265825106605e-05,0.1
6.25000000000000000e-02,75.000000,-2.76070734441088816e-01,-1.73805073076849226e-04,0.1
1.25000000000000000e-01,75.000000,-7.60804115961894456e-01,1.12584919018221541e-04,0.1
2.50000000000000000e-01,75.000000,-1.56495363064365178e+00,-3.14127431198136353e+00,0.1
1.56250000000000000e-02,80.000000,-5.91956140871569003e-04,-6.81319217337161831e-05,0.1
3.12500000000000000e-02,80.000000,-1.76090695910187389e-02,7.03238366872582787e-06,0.1
6.25000000000000000e-02,80.000000,-2.74069035805691585e-01,-1.53053011342052514e-04,0.1
1.25000000000000000e-01,80.000000,-7.61909542846734400e-01,2.12543143906174237e-04,0.1
2.50000000000000000e-01,80.000000,-1.56532022221816880e+00,3.14150237087408879e+00,0.1
1.56250000000000000e-02,85.000000,-6.61125382611191248e-04,-1.50534326328610746e-04,0.1
3.12500000000000000e-02,85.000000,-1.75169859058500743e-02,2.29518343501489142e-04,0.1
6.25000000000000000e-02,85.000000,-2.72727501749537193e-01,4.70374465199263625e-04,0.1
1.25000000000000000e-01,85.000000,-7.62780742275534274e-01,-2.54426150221753744e-04,0.1
2.50000000000000000e-01,85.000000,-1.56396667763948116e+00,3.14148480638602923e+00,0.1
1.56250000000000000e-02,90.000000,-8.92338477048296164e-04,-2.31927034941126209e-04,0.1
3.12500000000000000e-02,90.000000,-1.70200108293748487e-02,5.42256988214084856e-04,0.1
6.25000000000000000e-02,90.000000,-2.72039075431746269e-01,4.32500010099534649e-04,0.1
1.25000000000000000e-01,90.000000,-7.63075830219246964e-01,9.74187572627904785e-04,0.1
2.50000000000000000e-01,90.000000,-1.56313951437050891e+00,-3.14143432397752242e+00,0.1
1.56250000000000000e-02,95.000000,-6.56444672210515501e-04,-2.20755191419730323e-04,0.1
3.12500000000000000e-02,95.000000,-1.74036730179715493e-02,1.95117739405503698e-05,0.1
6.25000000000000000e-02,95.000000,-2.72728255401848030e-01,1.42740999594437312e-04,0.1
1.25000000000000000e-01,95.000000,-7.62779095646530902e-01,2.57912151151451496e-05,0.1
2.50000000000000000e-01,95.000000,-1.56396597256439751e+00,3.14158477080091458e+00,0.1
1.56250000000000000e-02,100.000000,-7.09348757059816148e-04,-1.24140101040559614e-04,0.1
3.12500000000000000e-02,100.000000,-1.76991982346609567e-02,-1.26039130166955005e-04,0.1
6.25000000000000000e-02,100.000000,-2.74050986540429142e-01,-3.79766692359950753e-05,0.1
1.25000000000000000e-01,100.000000,-7.61904612045289586e-01,1.93655344505661020e-04,0.1
2.50000000000000000e-01,100.000000,-1.56531984495900200e+00,-3.14148301018992715e+00,0.1
1.56250000000000000e-02,105.000000,-6.51393421941592887e-04,-2.71348043965780050e-04,0.1
3.12500000000000000e-02,105.000000,-1.78488602581217404e-02,-2.76572893049831237e-05,0.1
6.25000000000000000e-02,105.000000,-2.76059027001774870e-01,3.03715584140995531e-04,0.1
1.25000000000000000e-01,105.000000,-7.60817780676754318e-01,-1.23565181735507679e-05,0.1
2.50000000000000000e-01,105.000000,-1.56495623416915230e+00,3.14149625018951806e+00,0.1
1.56250000000000000e-02,110.000000,-6.63516767382341111e-04,-2.12935801385150114e-04,0.1
3.12500000000000000e-02,110.000000,-1.81267905765519211e-02,8.35059005299676471e-05,0.1
6.25000000000000000e-02,110.000000,-2.78498122913456103e-01,-3.45154587533258450e-06,0.1
1.25000000000000000e-01,110.000000,-7.59915473498894878e-01,-6.72980117717436599e-05,0.1
2.50000000000000000e-01,110.000000,-1.56589507896677094e+00,-3.14156364101940611e+00,0.1
1.56250000000000000e-02,115.000000,-7.01159653079902467e-04,-9.84008963786919821e-05,0.1
3.12500000000000000e-02,115.000000,-1.83667213546094277e-02,5.41084061600471955e-05,0.1
6.25000000000000000e-02,115.000000,-2.81129019995065677e-01,-8.54230204643258162e-05,0.1
1.25000000000000000e-01,115.000000,-7.59373467284342074e-01,-1.10747502560570865e-04,0.1
2.50000000000000000e-01,115.000000,-1.57001990064760255e+00,3.14009316124104032e+00,0.1
1.56250000000000000e-02,120.000000,-7.19835691196296645e-04,1.36814586140232564e-04,0.1
3.12500000000000000e-02,120.000000,-1.87307660218024585e-02,-1.23586350722959537e-04,0.1
6.25000000000000000e-02,120.000000,-2.83555952741706752e-01,2.46941731506300499e-04,0.1
1.25000000000000000e-01,120.000000,-7.58877737746322834e-01,1.13175302290713375e-04,0.1
2.50000000000000000e-01,120.000000,-1.57027443438878800e+00,-3.14153686548336619e+00,0.1
1.56250000000000000e-02,125.000000,-6.91632837855601923e-04,1.82452152276191271e-04,0.1
3.12500000000000000e-02,125.000000,-1.88419142581471855e-02,1.36831079223576069e-04,0.1
6.25000000000000000e-02,125.000000,-2.85527737088050571e-01,-3.25474510360912461e-05,0.1
1.25000000000000000e-01,125.000000,-7.58054771484356960e-01,5.61010431354702632e-06,0.1
2.50000000000000000e-01,125.000000,-1.56757215450695697e+00,3.14123172292287833e+00,0.1
1.56250000000000000e-02,130.000000,-6.93898750477220383e-04,-2.08193617890373162e-04,0.1
3.12500000000000000e-02,130.000000,-1.90660334688109445e-02,-2.49839601456081084e-05,0.1
6.25000000000000000e-02,130.000000,-2.86827908717624258e-01,1.54144439706627168e-04,0.1
1.25000000000000000e-01,130.000000,-7.57145673909200068e-01,-4.06014650380370767e-05,0.1
2.50000000000000000e-01,130.000000,-1.56974728104597649e+00,-3.14138395542374838e+00,0.1
1.56250000000000000e-02,135.000000,-7.46015848542752602e-04,-3.51704343533043584e-05,0.1
3.12500000000000000e-02,135.000000,-1.90736358015941576e-02,4.33743551877086020e-04,0.1
6.25000000000000000e-02,135.000000,-2.87277001683715727e-01,1.80490022172463682e-04,0.1
1.25000000000000000e-01,135.000000,-7.56716531517091284e-01,1.64130193391454071e-04,0.1
2.50000000000000000e-01,135.000000,-1.56902274592089963e+00,2.98439453398913201e-05,0.1
1.56250000000000000e-02,140.000000,-7.15193886486428787e-04,2.05874596543864641e-04,0.1
3.12500000000000000e-02,140.000000,-1.90184886987410096e-02,-1.89826849398500030e-04,0.1
6.25000000000000000e-02,140.000000,-2.86848029072640176e-01,-9.68561679557389255e-05,0.1
1.25000000000000000e-01,140.000000,-7.57132783195962666e-01,1.14565781458964011e-04,0.1
2.50000000000000000e-01,140.000000,-1.56974723597029020e+00,3.14134467619669255e+00,0.1
1.56250000000000000e-02,145.000000,-7.07408114573121471e-04,2.99474793958864893e-05,0.1
