frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
3.12500000000000000e-02,55.000000,-1.89251268518323967e-02,2.50474979397452557e-05,30 dB
6.25000000000000000e-02,55.000000,-2.85544173315539829e-01,1.69198230631995017e-04,30 dB
1.25000000000000000e-01,55.000000,-7.58057312360193580e-01,3.99703665188155810e-06,30 dB
2.50000000000000000e-01,55.000000,-1.56757312165965401e+00,3.14154661407075597e+00,30 dB
1.56250000000000000e-02,60.000000,-6.96010192365356661e-04,-5.56295629583480888e-05,30 dB
3.12500000000000000e-02,60.000000,-1.86611954607103503e-02,1.24035053814974816e-04,30 dB
6.25000000000000000e-02,60.000000,-2.83572393828202984e-01,-3.32365939650358655e-05,30 dB
1.25000000000000000e-01,60.000000,-7.58869629679123192e-01,-3.03559562642163883e-06,30 dB
2.50000000000000000e-01,60.000000,-1.57027463197785089e+00,3.14154687549094191e+00,30 dB
1.56250000000000000e-02,65.000000,-7.00580924989785414e-04,1.36112990439585246e-04,30 dB
3.12500000000000000e-02,65.000000,-1.84104724357151417e-02,-1.63825980923348880e-04,30 dB
6.25000000000000000e-02,65.000000,-2.81131527561219896e-01,1.07425049969300801e-04,30 dB
1.25000000000000000e-01,65.000000,-7.59377660599729443e-01,-5.93663494639073974e-05,30 dB
2.50000000000000000e-01,65.000000,-1.57001958307673117e+00,-3.14157261251666631e+00,30 dB
1.56250000000000000e-02,70.000000,-6.55499253104971369e-04,3.15583498178284572e-05,30 dB
3.12500000000000000e-02,70.000000,-1.81190616639965996e-02,7.80556238488827603e-06,30 dB
6.25000000000000000e-02,70.000000,-2.78517119054637052e-01,-1.13051223803672940e-04,30 dB
1.25000000000000000e-01,70.000000,-7.59919589673458740e-01,1.24608148129645713e-04,30 dB
2.50000000000000000e-01,70.000000,-1.56589440433952665e+00,-3.14148606467293812e+00,30 dB
1.56250000000000000e-02,75.000000,-6.64596713126713867e-04,8.32461190212185898e-05,30 dB
3.12500000000000000e-02,75.000000,-1.78498038244820634e-02,-3.49246821791382445e-05,30 dB
6.25000000000000000e-02,75.000000,-2.76051051090115185e-01,-3.41807726815801516e-05,30 dB
1.25000000000000000e-01,75.000000,-7.60807703705584482e-01,4.15549548371529909e-05,30 dB
2.50000000000000000e-01,75.000000,-1.56495590003071583e+00,-3.14150880795746401e+00,30 dB
1.56250000000000000e-02,80.000000,-6.14170562069471515e-04,-1.43712143684027183e-04,30 dB
3.12500000000000000e-02,80.000000,-1.76400088687636847e-02,7.96560799516399243e-05,30 dB
6.25000000000000000e-02,80.000000,-2.74063181676445389e-01,1.57634562780728515e-04,30 dB
1.25000000000000000e-01,80.000000,-7.61907567849011036e-01,2.11262831446568100e-04,30 dB
2.50000000000000000e-01,80.000000,-1.56531846399391195e+00,3.14157120682239555e+00,30 dB
1.56250000000000000e-02,85.000000,-6.70531404539237430e-04,-1.16852636191211445e-04,30 dB
3.12500000000000000e-02,85.000000,-1.74912355354942539e-02,-9.29496415453812119e-05,30 dB
6.25000000000000000e-02,85.000000,-2.72724708856239451e-01,-3.83945860304990561e-06,30 dB
1.25000000000000000e-01,85.000000,-7.62781770318047614e-01,-2.33138231409135699e-04,30 dB
2.50000000000000000e-01,85.000000,-1.56396826199027927e+00,-3.14158281807275230e+00,30 dB
