radius,feature_width,detection_magnitude,fwhm,detection_rate
20,1,5.13741414773161085e-20,1.06250000000000000e+00,0.00000000000000000e+00
20,2,9.82954490364090457e-20,2.00000000000000000e+00,0.00000000000000000e+00
20,4,3.78906864381018918e-19,1.29506279886384164e+01,0.00000000000000000e+00
20,8,2.73283327655439142e-03,1.92744238592720691e+01,1.00000000000000000e+00
20,16,6.25335444133482896e-03,3.33900101936097968e+01,1.00000000000000000e+00
20,32,4.10800020519558884e-02,2.64068658771235079e+01,1.00000000000000000e+00
20,64,7.60436438774003270e-02,6.71079953702220564e+01,1.00000000000000000e+00
25,1,2.19460824085334673e-20,1.06250000000000000e+00,0.00000000000000000e+00
25,2,4.25018374288361277e-20,2.00000000000000000e+00,0.00000000000000000e+00
25,4,1.92218532600096229e-19,1.49073181177707230e+01,0.00000000000000000e+00
25,8,4.75963469503091263e-19,2.05387730613349397e+01,0.00000000000000000e+00
25,16,4.06148921712250720e-03,3.41306416289605465e+01,1.00000000000000000e+00
25,32,7.25152694590715068e-03,2.46483152760959463e+01,1.00000000000000000e+00
25,64,6.09400365598651364e-02,6.42517211013301193e+01,1.00000000000000000e+00
32,1,8.56882974419667374e-21,1.06250000000000000e+00,0.00000000000000000e+00
32,2,2.22225021298582365e-20,2.00000000000000000e+00,0.00000000000000000e+00
32,4,8.62302489057555645e-20,1.44983465976923434e+01,0.00000000000000000e+00
32,8,2.68839993694101531e-19,2.32305005020799662e+01,0.00000000000000000e+00
32,16,4.63342690296469396e-04,3.50766636677999131e+01,1.00000000000000000e+00
32,32,4.25385005973731405e-03,5.12471249314281607e+01,1.00000000000000000e+00
32,64,3.42994482135596801e-02,5.75171156816926583e+01,1.00000000000000000e+00
40,1,6.92398933490024702e-21,1.06250000000000000e+00,0.00000000000000000e+00
40,2,1.48854214860332402e-20,2.00000000000000000e+00,0.00000000000000000e+00
40,4,6.40703966319261525e-20,1.64417631724573070e+01,0.00000000000000000e+00
40,8,2.30153078829874325e-19,2.47610540698114932e+01,0.00000000000000000e+00
40,16,4.46850562948896204e-19,3.66075036102852991e+01,0.00000000000000000e+00
40,32,2.62804773738606464e-03,5.85836438434643227e+01,1.00000000000000000e+00
40,64,9.28352188553739112e-03,5.26869649880325710e+01,1.00000000000000000e+00
50,1,4.36074069722954895e-21,1.06250000000000000e+00,0.00000000000000000e+00
50,2,6.64881501103420904e-21,2.00000000000000000e+00,0.00000000000000000e+00
50,4,2.65304720776191201e-20,1.83766336965509964e+01,0.00000000000000000e+00
50,8,9.68439330548648426e-20,2.66044355396098346e+01,0.00000000000000000e+00
50,16,2.64926320174183661e-19,3.78388620151931221e+01,0.00000000000000000e+00
50,32,2.55265158820367844e-04,6.04529110089922526e+01,1.00000000000000000e+00
50,64,3.01453007908468766e-03,4.94863138537153446e+01,1.00000000000000000e+00
64,1,1.87694965648142621e-21,1.06250000000000000e+00,0.00000000000000000e+00
64,2,3.61068668815720866e-21,2.00000000000000000e+00,0.00000000000000000e+00
64,4,1.74634524547291550e-20,2.11905610405148295e+01,0.00000000000000000e+00
64,8,5.60168840238471584e-20,2.72366104945541494e+01,0.00000000000000000e+00
64,16,1.74138707892440297e-19,3.96543984564354304e+01,0.00000000000000000e+00
64,32,5.06629494400035236e-19,6.28405329611059500e+01,0.00000000000000000e+00
64,64,2.06277244917147393e-03,7.88554446919143999e+01,1.00000000000000000e+00
80,1,2.07717492260437077e-21,1.06250000000000000e+00,0.00000000000000000e+00
80,2,1.92120490712502280e-21,2.00000000000000000e+00,0.00000000000000000e+00
80,4,9.51151337400949653e-21,2.21437806740575525e+01,0.00000000000000000e+00
80,8,3.47702195860310501e-20,2.88065824713053757e+01,0.00000000000000000e+00
80,16,1.03509826014199485e-19,4.12161684423364179e+01,0.00000000000000000e+00
80,32,3.81777621707896151e-19,6.52332353691353717e+01,0.00000000000000000e+00
80,64,5.80288223508515608e-04,1.09119318300572019e+02,1.00000000000000000e+00
100,1,6.18706264741060191e-22,1.06250000000000000e+00,0.00000000000000000e+00
100,2,1.55660459659931729e-21,2.00000000000000000e+00,0.00000000000000000e+00
100,4,5.16795707688067799e-21,2.41330863880646049e+01,0.00000000000000000e+00
100,8,2.13758087534610497e-20,3.06544746584836858e+01,0.00000000000000000e+00
100,16,6.91652136729788616e-20,4.42985134102608527e+01,0.00000000000000000e+00
100,32,2.35191691553078856e-19,6.79254405741553882e+01,0.00000000000000000e+00
100,64,8.20794016099946029e-19,1.13502042092790731e+02,0.00000000000000000e+00
128,1,3.24281480637761992e-22,1.06250000000000000e+00,0.00000000000000000e+00
128,2,6.31143204275281744e-22,2.00000000000000000e+00,0.00000000000000000e+00
128,4,2.62442361372772490e-21,2.50909866409265057e+01,0.00000000000000000e+00
128,8,1.13902777035600535e-20,3.34402386904740396e+01,0.00000000000000000e+00
128,16,4.24163893215573381e-20,4.69250076783573888e+01,0.00000000000000000e+00
128,32,1.19779906386482294e-19,7.11010146178625462e+01,0.00000000000000000e+00
128,64,4.73489905142480688e-19,1.18437148599090193e+02,0.00000000000000000e+00
