radius,feature_width,detection_magnitude,fwhm,detection_rate
50,1,5.82159340814175446e-04,4.56269852527979864e+01,5.83333333333333370e-01
50,2,1.15461555984679252e-03,4.33170686768059383e+01,5.83333333333333370e-01
50,4,2.27779846326945767e-03,4.36591194024461373e+01,5.83333333333333370e-01
50,8,4.40464287631238752e-03,4.53615333507560550e+01,6.38888888888888840e-01
50,16,8.05773779409058380e-03,4.73933340029718195e+01,7.08333333333333370e-01
50,32,1.36233815811481751e-02,5.29276493643547212e+01,1.00000000000000000e+00
50,64,1.70712028405257434e-02,8.85182312848822050e+01,1.00000000000000000e+00
64,1,3.28837408822551830e-04,5.48916682523815993e+01,5.41666666666666630e-01
64,2,6.56498165979783020e-04,5.39431283173555158e+01,5.69444444444444420e-01
64,4,1.31112142857335665e-03,5.44752027005941244e+01,5.83333333333333370e-01
64,8,2.59218316130188815e-03,5.54869960532999826e+01,5.83333333333333370e-01
64,16,4.79925071530447247e-03,5.82623916211669837e+01,6.38888888888888840e-01
64,32,8.37790747854016624e-03,6.26724854185049480e+01,8.05555555555555580e-01
64,64,1.22495259530024398e-02,9.28736332535135602e+01,1.00000000000000000e+00
80,1,2.01376657500821168e-04,6.55121913503149358e+01,5.27777777777777790e-01
80,2,4.01264163707087680e-04,6.47917510379360095e+01,5.27777777777777790e-01
80,4,7.98063858591788926e-04,6.53881587309426351e+01,5.55555555555555580e-01
80,8,1.59154196627134649e-03,6.77977366186770780e+01,5.83333333333333370e-01
80,16,3.03028465272696000e-03,6.97587792063949905e+01,6.25000000000000000e-01
80,32,5.40193254222263736e-03,7.51622001552935473e+01,6.94444444444444420e-01
80,64,8.74373937398890966e-03,9.38528000358338801e+01,1.00000000000000000e+00
100,1,1.26970738045104075e-04,8.00462163770673811e+01,5.27777777777777790e-01
100,2,2.52947442378446106e-04,7.97893336887613600e+01,5.27777777777777790e-01
100,4,5.03030180530315645e-04,8.01958398726672499e+01,5.27777777777777790e-01
100,8,9.97163286533170150e-04,8.13475435252350252e+01,5.62500000000000000e-01
100,16,1.93664953900704357e-03,8.51051627262733916e+01,5.83333333333333370e-01
100,32,3.53410580161480107e-03,9.03304296430058571e+01,6.38888888888888840e-01
100,64,5.94904985234232138e-03,9.95681075389197190e+01,8.61111111111111160e-01
128,1,6.70338500285123066e-05,1.18949146086976469e+02,5.27777777777777790e-01
128,2,1.33196039267074865e-04,1.17930006653401080e+02,5.27777777777777790e-01
128,4,2.65317572894510092e-04,1.18462370895072326e+02,5.27777777777777790e-01
128,8,5.26160406674495854e-04,1.17510896783062663e+02,5.27777777777777790e-01
128,16,1.02420149994529976e-03,1.06904730989862799e+02,5.83333333333333370e-01
128,32,1.93381666550678649e-03,1.13107022589758927e+02,6.38888888888888840e-01
128,64,3.39385180008313931e-03,1.22504016009089838e+02,7.50000000000000000e-01
